>NZ_CP043554.1 Vibrio cholerae strain RFB16 chromosome 1, complete sequence
  Start: 1, End: 5000, Banda R, GC%: 50.92, AT%: 49.08
  Start: 5001, End: 10000, Banda G, GC%: 46.2, AT%: 53.8
  Start: 10001, End: 15000, Banda G, GC%: 49.16, AT%: 50.84
  Start: 15001, End: 20000, Banda G, GC%: 48.72, AT%: 51.28
  Start: 20001, End: 25000, Banda G, GC%: 48.74, AT%: 51.26
  Start: 25001, End: 30000, Banda R, GC%: 50.16, AT%: 49.84
  Start: 30001, End: 35000, Banda G, GC%: 49.92, AT%: 50.08
  Start: 35001, End: 40000, Banda R, GC%: 50.04, AT%: 49.96
  Start: 40001, End: 45000, Banda G, GC%: 47.62, AT%: 52.38
  Start: 45001, End: 50000, Banda G, GC%: 46.96, AT%: 53.04
  Start: 50001, End: 55000, Banda G, GC%: 47.82, AT%: 52.18
  Start: 55001, End: 60000, Banda R, GC%: 50.38, AT%: 49.62
  Start: 60001, End: 65000, Banda G, GC%: 48.58, AT%: 51.42
  Start: 65001, End: 70000, Banda R, GC%: 51.98, AT%: 48.02
  Start: 70001, End: 75000, Banda R, GC%: 50.78, AT%: 49.22
  Start: 75001, End: 80000, Banda G, GC%: 44.8, AT%: 55.2
  Start: 80001, End: 85000, Banda G, GC%: 47.44, AT%: 52.56
  Start: 85001, End: 90000, Banda G, GC%: 48.12, AT%: 51.88
  Start: 90001, End: 95000, Banda G, GC%: 44.64, AT%: 55.36
  Start: 95001, End: 100000, Banda G, GC%: 48.76, AT%: 51.24
  Start: 100001, End: 105000, Banda G, GC%: 49.98, AT%: 50.02
  Start: 105001, End: 110000, Banda G, GC%: 48.38, AT%: 51.62
  Start: 110001, End: 115000, Banda G, GC%: 47.82, AT%: 52.18
  Start: 115001, End: 120000, Banda G, GC%: 48.04, AT%: 51.96
  Start: 120001, End: 125000, Banda R, GC%: 50.28, AT%: 49.72
  Start: 125001, End: 130000, Banda G, GC%: 48.72, AT%: 51.28
  Start: 130001, End: 135000, Banda R, GC%: 52.06, AT%: 47.94
  Start: 135001, End: 140000, Banda R, GC%: 51.78, AT%: 48.22
  Start: 140001, End: 145000, Banda R, GC%: 52.8, AT%: 47.2
  Start: 145001, End: 150000, Banda G, GC%: 49.08, AT%: 50.92
  Start: 150001, End: 155000, Banda R, GC%: 51.88, AT%: 48.12
  Start: 155001, End: 160000, Banda G, GC%: 48.78, AT%: 51.22
  Start: 160001, End: 165000, Banda R, GC%: 51.4, AT%: 48.6
  Start: 165001, End: 170000, Banda R, GC%: 50.26, AT%: 49.74
  Start: 170001, End: 175000, Banda G, GC%: 48.88, AT%: 51.12
  Start: 175001, End: 180000, Banda R, GC%: 50.18, AT%: 49.82
