>NZ_CP043554.1 Vibrio cholerae strain RFB16 chromosome 1, complete sequence
  Start: 1, End: 10000, G band, GC%: 48.56, AT%: 51.44
  Start: 10001, End: 20000, G band, GC%: 48.94, AT%: 51.06
  Start: 20001, End: 30000, G band, GC%: 49.45, AT%: 50.55
  Start: 30001, End: 40000, G band, GC%: 49.98, AT%: 50.02
  Start: 40001, End: 50000, G band, GC%: 47.29, AT%: 52.71
  Start: 50001, End: 60000, G band, GC%: 49.1, AT%: 50.9
  Start: 60001, End: 70000, R band, GC%: 50.28, AT%: 49.72
  Start: 70001, End: 80000, G band, GC%: 47.79, AT%: 52.21
  Start: 80001, End: 90000, G band, GC%: 47.78, AT%: 52.22
  Start: 90001, End: 100000, G band, GC%: 46.7, AT%: 53.3
  Start: 100001, End: 110000, G band, GC%: 49.18, AT%: 50.82
  Start: 110001, End: 120000, G band, GC%: 47.93, AT%: 52.07
  Start: 120001, End: 130000, G band, GC%: 49.5, AT%: 50.5
  Start: 130001, End: 140000, R band, GC%: 51.92, AT%: 48.08
  Start: 140001, End: 150000, R band, GC%: 50.94, AT%: 49.06
  Start: 150001, End: 160000, R band, GC%: 50.33, AT%: 49.67
  Start: 160001, End: 170000, R band, GC%: 50.83, AT%: 49.17
  Start: 170001, End: 180000, G band, GC%: 49.53, AT%: 50.47
  Start: 180001, End: 190000, G band, GC%: 49.94, AT%: 50.06
  Start: 190001, End: 200000, G band, GC%: 49.88, AT%: 50.12
  Start: 200001, End: 210000, G band, GC%: 48.79, AT%: 51.21
  Start: 210001, End: 220000, G band, GC%: 48.87, AT%: 51.13
  Start: 220001, End: 230000, G band, GC%: 49.29, AT%: 50.71
  Start: 230001, End: 240000, G band, GC%: 48.06, AT%: 51.94
  Start: 240001, End: 250000, G band, GC%: 48.99, AT%: 51.01
  Start: 250001, End: 260000, R band, GC%: 50.29, AT%: 49.71
  Start: 260001, End: 270000, G band, GC%: 49.55, AT%: 50.45
  Start: 270001, End: 280000, G band, GC%: 47.29, AT%: 52.71
  Start: 280001, End: 290000, G band, GC%: 47.7, AT%: 52.3
  Start: 290001, End: 300000, G band, GC%: 49.74, AT%: 50.26
  Start: 300001, End: 310000, R band, GC%: 50.02, AT%: 49.98
  Start: 310001, End: 320000, R band, GC%: 50.89, AT%: 49.11
  Start: 320001, End: 330000, G band, GC%: 46.98, AT%: 53.02
  Start: 330001, End: 340000, G band, GC%: 49.18, AT%: 50.82
  Start: 340001, End: 350000, R band, GC%: 50.29, AT%: 49.71
  Start: 350001, End: 360000, G band, GC%: 48.26, AT%: 51.74
  Start: 360001, End: 370000, G band, GC%: 46.5, AT%: 53.5
  Start: 370001, End: 380000, G band, GC%: 47.89, AT%: 52.11
  Start: 380001, End: 390000, G band, GC%: 48.72, AT%: 51.28
  Start: 390001, End: 400000, G band, GC%: 49.7, AT%: 50.3
  Start: 400001, End: 410000, G band, GC%: 49.37, AT%: 50.63
  Start: 410001, End: 420000, G band, GC%: 49.21, AT%: 50.79
  Start: 420001, End: 430000, G band, GC%: 49.91, AT%: 50.09
  Start: 430001, End: 440000, R band, GC%: 51.02, AT%: 48.98
  Start: 440001, End: 450000, G band, GC%: 49.12, AT%: 50.88
  Start: 450001, End: 460000, R band, GC%: 50.94, AT%: 49.06
  Start: 460001, End: 470000, G band, GC%: 49.51, AT%: 50.49
  Start: 470001, End: 480000, G band, GC%: 48.02, AT%: 51.98
  Start: 480001, End: 490000, G band, GC%: 47.09, AT%: 52.91
  Start: 490001, End: 500000, R band, GC%: 51.77, AT%: 48.23
  Start: 500001, End: 510000, G band, GC%: 48.13, AT%: 51.87
  Start: 510001, End: 520000, G band, GC%: 47.33, AT%: 52.67
  Start: 520001, End: 530000, G band, GC%: 48.07, AT%: 51.93
  Start: 530001, End: 540000, G band, GC%: 47.42, AT%: 52.58
  Start: 540001, End: 550000, G band, GC%: 49.42, AT%: 50.58
  Start: 550001, End: 560000, R band, GC%: 50.43, AT%: 49.57
  Start: 560001, End: 570000, R band, GC%: 51.31, AT%: 48.69
  Start: 570001, End: 580000, G band, GC%: 48.05, AT%: 51.95
  Start: 580001, End: 590000, G band, GC%: 46.87, AT%: 53.13
  Start: 590001, End: 600000, G band, GC%: 46.73, AT%: 53.27
  Start: 600001, End: 610000, G band, GC%: 48.56, AT%: 51.44
  Start: 610001, End: 620000, G band, GC%: 47.99, AT%: 52.01
  Start: 620001, End: 630000, G band, GC%: 47.8, AT%: 52.2
  Start: 630001, End: 640000, R band, GC%: 50.19, AT%: 49.81
  Start: 640001, End: 650000, G band, GC%: 48.41, AT%: 51.59
  Start: 650001, End: 660000, G band, GC%: 46.55, AT%: 53.45
  Start: 660001, End: 670000, G band, GC%: 47.94, AT%: 52.06
  Start: 670001, End: 680000, G band, GC%: 48.2, AT%: 51.8
  Start: 680001, End: 690000, G band, GC%: 46.53, AT%: 53.47
  Start: 690001, End: 700000, G band, GC%: 48.45, AT%: 51.55
  Start: 700001, End: 710000, G band, GC%: 48.6, AT%: 51.4
  Start: 710001, End: 720000, G band, GC%: 48.97, AT%: 51.03
  Start: 720001, End: 730000, G band, GC%: 47.16, AT%: 52.84
  Start: 730001, End: 740000, G band, GC%: 48.64, AT%: 51.36
  Start: 740001, End: 750000, G band, GC%: 49.11, AT%: 50.89
  Start: 750001, End: 760000, R band, GC%: 50.75, AT%: 49.25
  Start: 760001, End: 770000, G band, GC%: 49.47, AT%: 50.53
  Start: 770001, End: 780000, G band, GC%: 46.81, AT%: 53.19
  Start: 780001, End: 790000, G band, GC%: 47.47, AT%: 52.53
  Start: 790001, End: 800000, G band, GC%: 45.19, AT%: 54.81
  Start: 800001, End: 810000, G band, GC%: 48.11, AT%: 51.89
  Start: 810001, End: 820000, G band, GC%: 47.95, AT%: 52.05
  Start: 820001, End: 830000, G band, GC%: 47.46, AT%: 52.54
  Start: 830001, End: 840000, G band, GC%: 45.91, AT%: 54.09
  Start: 840001, End: 850000, G band, GC%: 46.99, AT%: 53.01
  Start: 850001, End: 860000, G band, GC%: 47.83, AT%: 52.17
  Start: 860001, End: 870000, G band, GC%: 46.35, AT%: 53.65
  Start: 870001, End: 880000, G band, GC%: 46.1, AT%: 53.9
  Start: 880001, End: 890000, G band, GC%: 47.88, AT%: 52.12
  Start: 890001, End: 900000, R band, GC%: 50.33, AT%: 49.67
  Start: 900001, End: 910000, R band, GC%: 51.45, AT%: 48.55
  Start: 910001, End: 920000, G band, GC%: 47.38, AT%: 52.62
  Start: 920001, End: 930000, G band, GC%: 48.46, AT%: 51.54
  Start: 930001, End: 940000, G band, GC%: 47.47, AT%: 52.53
  Start: 940001, End: 950000, G band, GC%: 46.18, AT%: 53.82
  Start: 950001, End: 960000, G band, GC%: 48.23, AT%: 51.77
  Start: 960001, End: 970000, G band, GC%: 45.92, AT%: 54.08
  Start: 970001, End: 980000, G band, GC%: 43.73, AT%: 56.27
  Start: 980001, End: 990000, G band, GC%: 44.25, AT%: 55.75
  Start: 990001, End: 1000000, G band, GC%: 47.12, AT%: 52.88
  Start: 1000001, End: 1010000, G band, GC%: 46.64, AT%: 53.36
  Start: 1010001, End: 1020000, R band, GC%: 50.04, AT%: 49.96
